Id	Проверка	Статус
Тестирование инсталляции:		
1	Установить приложение	
2	Установить приложение во всех поддерживаемых окружениях и платформах	
3	Проверить правильно ли установлены, сохранены ли в корректных папках файлы приложения	
4	Проверить наличие созданных ярлыков, корректно ли они расположены и отображены	
5	Начать установку приложения и прервать ее отключив интернет	
6	Начать установку приложения и прервать ее отключив телефон	
7	Начать установку приложения и прервать ее кнопкой отмены установки	
8	Установить приложение переключившись в процессе с WIFI на мобильный интернет	
9	Установить приложение переключившись в процессе с мобильного интернета на WIFI	
10	Установить приложение переключившись в процессе с WIFI на другой WIFI	
11	Удалить приложение	
12	Проверить удаление всех файлов, папок, ярлыков приложения	
13	Переустановить приложение.	
14	Обновить приложение	
15	Проверить что приложение корректно запускается и работает после обновления	
16	Проверить что после обновления сохраняются пользовательские настройки	
17	Проверить изменение отображения номера версии в приложении	
18	Установка старой версии на более новую	
19	Корректная работа после отката	
Функциональное тестирование:		
20	Запуск приложения	
21	Работа основного функционала	
22	Корректность работы обязательных полей	
23	Отображение уведомлений	
24	Работа ввода текста	
25	Показ рекламы	
26	Работа свайпов	
27	Жесты	
28	Боковое меню	
29	Загрузка файлов/фото/видео	
30	функция поделиться	
31	Изменение громкости	
Тестирование прерываний:		
32	Получение уведомлений сторонних приложений	
33	Свернуть приложение	
34	Переключение на сторонее приложение	
35	Закрыть приложение	
36	Блокировать экран	
37	Входящий звонок	
38	Ответить на входящий звонок	
39	Входящее СМС	
40	Потеря сетевого соединения	
41	Восстановление сетевого соединения	
42	Низкий заряд батареи	
43	Аккумулятор полностью заряжен	
44	Подключение зарядки	
45	Отключение зарядки	
46	Подключение наушников	
47	Отключение наушников	
48	Смена ориентации	
49	Оповещение будильника	
50	Подключение карты памяти	
51	Отключение карты памяти	
52	Включение функции двойного экрана	
53	Изменение громкости	
54	Развернуть шторку уведомлений	
Аутентификация и авторизация:		
55	Регистрация пользователя по почте	
56	Регистрация пользователя по соц. сетям	
57	Авторизация по почте	
58	Авторизация через соц.сети	
59	Авторизация через СМС	
60	Авторизация на нескольких устройствах	
61	Восстановление данных пользователя	
62	Выход из системы	
63	Выход из системы по истечению токена	
Тестирование оплаты:		
64	Привязать карту к профилю	
65	Оплата привязанной картой	
66	Оплата непривязанной картой	
67	Оплата картой с недостаточным количеством средств	
68	Получение платного контента после успешной оплаты	
69	Получение подтверждения транзакции после успешной оплаты	
70	Оплата другими способами оплаты ( apple pay, webmoney и т.д.)	
71	Оплата при недостаточном количестве средств другими способами оплаты	
72	Автопродление платного контента	
73	Доступ к платному контенту после автопродление	
74	Отмена продления платного контента	
75	Прекращение доступа к платному контенту после отмены автопродления	
76	Возврат средств на карту	
77	Возврат средств на другие способы оплаты	
78	Получение подтверждений транзакции после возврата	
Тестирование кросплатформы:		
79	Запуск приложения на поддерживаемых окружениях и платформах	
80	Стабильная работа на поддерживаемых окружениях и платформах	
Юзабилити-тестирование:		
81	Быстрая загрузка приложения	
82	Панель вкладок	
83	Иконки подписаны	
84	Переходный интерфейс	
85	Анимация	
86	Жесты	
87	Поиск по приложению	
88	Шрифт	
Тестирование локализации и глобализации:		
89	Дата и время в соответствии с часовым поясом пользователя	
90	Язык приложения в соответствии с выбранным языком	
91	Отображение соответствующих символов валюты	
92	Отображение соответствующих единиц мер и весов	
93	Реклама исходя из локации пользователя	
94	Юридические особенности в соответствии с локацией пользователя	
Тестирование безопасности:		
95	Невозможность авторизации со старым пвролем	
96	Пароли не передаются в открытом виде	
97	Пароль скрыт астерисками при регистрации/авторизации	
98	Корекктное отображение сообщений об ошибках	
99	Завершение сессии после разлогина	
100	Доступ к закрытым разделам приложения	
101	Доступ контента в зависимости от статуса пользователя 	
102	Доступ к системным приложениям ( камера, контакты, файлы и т д )	
Тестирование ориентации:		
103	Запустить приложение на портретной ориентации	
104	Запустить приложение на альбомной ориентация	
105	Запустить приложение на портретной ориентации и поменять на альбомную	
106	Запустить приложение на альбомной ориентация и поменять на портретную	
107	Запустить приложение на портретной ориентации и поменять на альбомную при заблокированной портретной ориентации на системном уровне	
108	Запустить приложение на альбомной ориентация и поменять на портретную при заблокированной албомной ориентации на системном уровне	
Тестирование производительности:		
109	Маленькое время отклика приложения ( меньше 3 секунд)	
110	Длительная работа приложения	
111	Обработка больших количеств данных	
112	Обработка запросов при большой нагрузке на ЦП (троллинг)	
113	Работа приложения при тротлинге сети	
