id	Проверка 	Статус
Безопасность:		
1	Отсутствие нежелательного контена	
2	Отсутствие контента с авторскими правами	
3	Отсутствие контента способного причинить физический вред	
4	Наличие обратной связи	
5	Наличие пользовательского соглашения	
6	Данные не передаются третим лицам	
7	Запрос разрешения на доступ к отслеживанию активности	
8	Наличие входа по AppleID	
Производительность:		
7	Отсутсвие большого количества багов	
8	Быстрый отклик на запросы в приложении	
9	Реализация всей запланированной функциональности (отсутствие несвязанного кода)	
10	Правильное поведение кнопок громкости и жестов и жестов свайпа панели управления	
11	Запуск приложения на IPad	
12	Правильное потребление энергии	
13	Отсутствие вирусов	
Оформление приложения		
14	Отсутвие упоминания других платформ	
15	Отутсвие скриншотов несуществующих функций	
16	Соответсвтие контента возрастной метке	
17	Наличие описания новой функциональности	
